pretrain_optimizer,run_folder,run_path,pretrain_base_path,finetune_type,finetune_optimizer,name_suffix,checkpoint_step,tensor_category,tensor_category_label,count,count_l_inf,mean_l_inf,var_l_inf,std_l_inf,min_l_inf,max_l_inf,count_l2,mean_l2,var_l2,std_l2,min_l2,max_l2,count_rms_rms_induced,mean_rms_rms_induced,var_rms_rms_induced,std_rms_rms_induced,min_rms_rms_induced,max_rms_rms_induced
muon,muon_ckpt_driving_fullft_adamw,/scratch/celine/ft_out/muon_ckpt_driving_fullft_adamw,/scratch/celine/moonlight_weights/Moonlight_hf_step_42000,full,adamw,,400,kv,Attention KV proj,54,54,0.013662510448031955,2.3367952898878104e-06,0.0015286580029188381,0.011688232421875,0.0220947265625,54,1.948772986173735,0.06109099357857682,0.24716592317424507,1.5381715780969174,2.638507332461088,54,0.5090358105222307,0.18077298181894394,0.4251740606139372,0.13556708732950387,2.7431338168693196
muon,muon_ckpt_driving_fullft_adamw,/scratch/celine/ft_out/muon_ckpt_driving_fullft_adamw,/scratch/celine/moonlight_weights/Moonlight_hf_step_42000,full,adamw,,400,o,Attention O proj,27,27,0.014286288508662471,1.561292306709261e-06,0.001249516829302135,0.0125885009765625,0.016845703125,27,3.3623843729554124,0.09306630627137442,0.3050677076836787,2.7511252571954086,4.182756170920246,27,0.7531642428150883,0.046844204212345475,0.21643521943608318,0.5252752304077148,1.2728772163391113
muon,muon_ckpt_driving_fullft_adamw,/scratch/celine/ft_out/muon_ckpt_driving_fullft_adamw,/scratch/celine/moonlight_weights/Moonlight_hf_step_42000,full,adamw,,400,mlp,MLP / MoE experts,5073,5073,0.013364920577318175,5.190262210480704e-06,0.0022782146980652863,0.001430511474609375,0.037109375,5073,2.771967498658726,0.32657365720079423,0.5714662345237855,0.04571290258005267,8.867627856373614,5073,0.849214663322195,0.09063444806911167,0.30105555644948934,0.012056930261713927,3.835045852055695
muon,muon_ckpt_driving_fullft_adamw,/scratch/celine/ft_out/muon_ckpt_driving_fullft_adamw,/scratch/celine/moonlight_weights/Moonlight_hf_step_42000,full,adamw,,400,router,MoE router gate,52,52,0.0,0.0,0.0,0.0,0.0,52,0.0,0.0,0.0,0.0,0.0,26,0.0,0.0,0.0,0.0,0.0
muon,muon_ckpt_driving_fullft_adamw,/scratch/celine/ft_out/muon_ckpt_driving_fullft_adamw,/scratch/celine/moonlight_weights/Moonlight_hf_step_42000,full,adamw,,400,norm,LayerNorm / RMSNorm,82,82,0.00029103348894817075,8.769884135700878e-07,0.0009364765953135657,0.0,0.00634765625,82,0.0003351626236180463,1.5745715414327692e-06,0.0012548193262110563,0.0,0.009950040953278727,0,nan,nan,nan,nan,nan
muon,muon_ckpt_driving_fullft_muon,/scratch/celine/ft_out/muon_ckpt_driving_fullft_muon,/scratch/celine/moonlight_weights/Moonlight_hf_step_42000,full,muon,,400,embed,Embedding / LM head,2,2,0.383056640625,0.06580936908721924,0.25653336836992424,0.20166015625,0.564453125,2,30.16036692196782,189.4931269599357,13.765650255615812,20.42658227877955,39.89415156515609,2,0.3108054088874891,0.0023895325613242572,0.048882845266251196,0.2762400175160301,0.345370800258948
muon,muon_ckpt_driving_fullft_muon,/scratch/celine/ft_out/muon_ckpt_driving_fullft_muon,/scratch/celine/moonlight_weights/Moonlight_hf_step_42000,full,muon,,400,q,Attention Q proj,27,27,0.024491486725983797,3.629372000131767e-05,0.006024426943811143,0.0194091796875,0.0460205078125,27,3.3897906343390267,0.14527889378915357,0.3811546848579374,2.4483227223927444,3.8861603148802857,27,0.19728138232173048,0.00023130993802549305,0.015208876948200122,0.1695789175005128,0.2283567042306962
muon,muon_ckpt_driving_fullft_muon,/scratch/celine/ft_out/muon_ckpt_driving_fullft_muon,/scratch/celine/moonlight_weights/Moonlight_hf_step_42000,full,muon,,400,kv,Attention KV proj,54,54,0.027164158997712313,5.0864940684923876e-05,0.007131966116361173,0.017578125,0.041748046875,54,3.230164079762477,0.5371988277929077,0.7329384884101173,1.8894497079366843,4.584780909504747,54,0.21856599079054384,0.014744256362522051,0.12142592953122514,0.06949448971169561,0.39131795028550004
muon,muon_ckpt_driving_fullft_muon,/scratch/celine/ft_out/muon_ckpt_driving_fullft_muon,/scratch/celine/moonlight_weights/Moonlight_hf_step_42000,full,muon,,400,o,Attention O proj,27,27,0.016978793674045138,6.2953883734268995e-06,0.002509061253422662,0.01079559326171875,0.0206298828125,27,2.9702202848931396,0.2911492403446868,0.5395824685297761,1.6246743884679247,3.47772668783878,27,0.15090222794700553,0.000613933465345675,0.024777680790293407,0.09155874699354172,0.1813736855983734
muon,muon_ckpt_driving_fullft_muon,/scratch/celine/ft_out/muon_ckpt_driving_fullft_muon,/scratch/celine/moonlight_weights/Moonlight_hf_step_42000,full,muon,,400,mlp,MLP / MoE experts,5073,5073,0.013142377725607212,6.565096009811039e-06,0.0025622443306232605,0.002058267593383789,0.048187255859375,5073,2.7036449850073345,0.40371841659016544,0.6353883982181021,0.1114638739022814,6.915255755027444,5073,0.8467681687649802,0.10081875731649097,0.31751969595048896,0.029840129799751328,1.7990944730467666
muon,muon_ckpt_driving_fullft_muon,/scratch/celine/ft_out/muon_ckpt_driving_fullft_muon,/scratch/celine/moonlight_weights/Moonlight_hf_step_42000,full,muon,,400,router,MoE router gate,52,52,0.0,0.0,0.0,0.0,0.0,52,0.0,0.0,0.0,0.0,0.0,26,0.0,0.0,0.0,0.0,0.0
muon,muon_ckpt_driving_fullft_muon,/scratch/celine/ft_out/muon_ckpt_driving_fullft_muon,/scratch/celine/moonlight_weights/Moonlight_hf_step_42000,full,muon,,400,norm,LayerNorm / RMSNorm,82,82,0.00023223132621951218,1.0112957292491867e-06,0.0010056320048850806,0.0,0.00732421875,82,0.0002452549828073367,1.0609256841920148e-06,0.0010300124679789148,0.0,0.00732421875,0,nan,nan,nan,nan,nan
muon,muon_ckpt_driving_muon,/scratch/celine/ft_out/muon_ckpt_driving_muon,/scratch/celine/moonlight_weights/Moonlight_hf_step_42000,lora,muon,,2000,embed,Embedding / LM head,2,2,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0,0.0,0.0,0.0
muon,muon_ckpt_driving_muon,/scratch/celine/ft_out/muon_ckpt_driving_muon,/scratch/celine/moonlight_weights/Moonlight_hf_step_42000,lora,muon,,2000,q,Attention Q proj,27,27,0.033476652922453706,4.946560322962425e-05,0.007033178742903116,0.02587890625,0.05718994140625,27,4.077616576514019,0.3174822549863482,0.5634556371058401,3.404127457080459,5.102165992641487,27,1.2168503540225688,0.061546804709424266,0.24808628480717,0.910747407194761,1.9829018023213492
muon,muon_ckpt_driving_muon,/scratch/celine/ft_out/muon_ckpt_driving_muon,/scratch/celine/moonlight_weights/Moonlight_hf_step_42000,lora,muon,,2000,kv,Attention KV proj,54,54,0.02651885703757957,0.0002958814658193751,0.017201205359490802,0.00872802734375,0.078125,54,3.3637609663798633,2.6318750992778632,1.6223054888885333,1.5159350992316252,6.33341822650966,54,0.8783084432989506,0.14901274603885625,0.3860216911507127,0.4504650111222533,2.0176680932546187
muon,muon_ckpt_driving_muon,/scratch/celine/ft_out/muon_ckpt_driving_muon,/scratch/celine/moonlight_weights/Moonlight_hf_step_42000,lora,muon,,2000,o,Attention O proj,27,27,0.011755378158004195,3.485615235587358e-06,0.0018669802450983132,0.009490966796875,0.0159912109375,27,3.6406803311990474,0.24064782365308182,0.49055868522846663,3.0681508343670236,4.590671169290339,27,1.240163975291782,0.12831204206341512,0.3582067029850434,0.9320403933525085,2.1016714572906494
muon,muon_ckpt_driving_muon,/scratch/celine/ft_out/muon_ckpt_driving_muon,/scratch/celine/moonlight_weights/Moonlight_hf_step_42000,lora,muon,,2000,mlp,MLP / MoE experts,5073,5073,0.0006359889148702383,4.809744529066661e-05,0.006935232172801903,0.0,0.26171875,5073,0.06692981020332475,0.28906699195132113,0.5376495066038107,0.0,7.786900502454082,5073,0.02304022949341733,0.03867647385841848,0.1966633515895081,0.0,3.8033688295936514
muon,muon_ckpt_driving_muon,/scratch/celine/ft_out/muon_ckpt_driving_muon,/scratch/celine/moonlight_weights/Moonlight_hf_step_42000,lora,muon,,2000,router,MoE router gate,52,52,0.0,0.0,0.0,0.0,0.0,52,0.0,0.0,0.0,0.0,0.0,26,0.0,0.0,0.0,0.0,0.0
muon,muon_ckpt_driving_muon,/scratch/celine/ft_out/muon_ckpt_driving_muon,/scratch/celine/moonlight_weights/Moonlight_hf_step_42000,lora,muon,,2000,norm,LayerNorm / RMSNorm,82,82,0.0,0.0,0.0,0.0,0.0,82,0.0,0.0,0.0,0.0,0.0,0,nan,nan,nan,nan,nan
